sound_id,class,class_idx,class_top,set,uploader,license,tags,title
185755,fx-o,11,fx,train,marcgp13,http://creativecommons.org/licenses/by/3.0/,"campus-upf,UPF-CS13,microwave,heat,bell,noise",microwave_oven.wav
358405,is-w,5,is,train,MTG,http://creativecommons.org/licenses/by/3.0/,"good-sounds,single-note,multisample,sax,neumann-U87,F5,alto",Sax Alto - F5
358760,is-w,5,is,train,MTG,http://creativecommons.org/licenses/by/3.0/,"good-sounds,sax,neumann-U87,GsharpMajor,scale,alto",Sax Alto - G# Major
432206,fx-o,11,fx,train,curesforbrokenhearts,http://creativecommons.org/publicdomain/zero/1.0/,"egg-shaker,shaker,percussion",EGG SHAKER
80630,sp-s,8,sp,train,tim.kahn,https://creativecommons.org/licenses/by/4.0/,"american,english,female,fight,speak,talk,text,vocal,voice",mechanics.wav
84090,is-p,3,is,train,sandyrb,https://creativecommons.org/licenses/by/4.0/,"14x6,accent,combo,ludwig,neumann,technica,drums,electrovoice,josephson,kent,layer,layers,snare,mic,microphone,microphones,mics,multi,velocity,sample,samples,beyer,breckner,shure,drum",KBSD-SPECIAL-VELOCITY014.wav
145544,sp-p,10,sp,train,bmoreno,https://creativecommons.org/licenses/by/4.0/,"korean,voice,field-recording,ticket,metro,seoul,korea",0024 Metro_ticket_error
156796,fx-h,14,fx,train,saknewton,http://creativecommons.org/licenses/by/3.0/,"phonemes,spanish,silabas,sylabs,espaol,fonemas",yi.wav
38633,is-p,3,is,train,Jovica,https://creativecommons.org/licenses/by/4.0/,"drum,electronic",Tonic Tom.flac
354592,is-w,5,is,train,MTG,http://creativecommons.org/licenses/by/3.0/,"good-sounds,C5,single-note,multisample,neumann-U87,flute",Flute - C5
63352,sp-c,9,sp,train,dobroide,https://creativecommons.org/licenses/by/4.0/,"conversation,male,spanish,voice",20081115.male.conversation.wav
376477,fx-o,11,fx,train,askeseverin,http://creativecommons.org/publicdomain/zero/1.0/,"spain,open,squeaky,squeak,creak,wood,wooden,zoom-h6,creaky,door,field-recording,handle",Opening old door in Spain
76567,ss-n,19,ss,train,digitopia,http://creativecommons.org/licenses/sampling+/1.0/,"ambience,ambient,atmosphere,barking,bird,croak,croaking,dog,duck,noise,ripple,soundscape,traffic,water,wing,porto,digitopia,rio,douro,seagull,portugal,florian,river,field-recording","09-07-11_0732_Ribeira early morning, next to the river, ducks.WAV"
119764,fx-m,13,fx,train,spenceomatic,http://creativecommons.org/publicdomain/zero/1.0/,"power-tool,saw",Electric Saw.wav
35034,sp-c,9,sp,test,dobroide,https://creativecommons.org/licenses/by/4.0/,"bravo,encouragement,applause,cheer,clapping",20070516.goal.00.wav
38886,fx-m,13,fx,train,Brotherprovisional,https://creativecommons.org/licenses/by/4.0/,"field-recording,folder,industrial,machine",Folder 3.wav
76539,m-m,2,m,train,digitopia,http://creativecommons.org/licenses/sampling+/1.0/,"2008,casa-da-m,digitopia,e,factor,guitar,installation,male,metro,music,people,porto,portugal,sample,short,sica,singing,sound,space,voice,world-music-day,world-music-day-2008",cdm6_50.wav
318557,fx-o,11,fx,train,kbt3,http://creativecommons.org/publicdomain/zero/1.0/,"strikethrough,line,pencil,write",pencilscratch.wav
52789,ss-u,21,ss,train,alexbird,http://creativecommons.org/licenses/by/3.0/,"children,field-recording,frog,garden,park,russian,voice",frogs.wav
418422,ss-i,20,ss,train,Mynk-01,http://creativecommons.org/licenses/by-nc/3.0/,"ambiente,voice,guitarra,ambient,female,guitar,risa,vocal,laugh",female laugh over guitar.mp3
239077,m-sp,0,m,train,Bronxio,http://creativecommons.org/publicdomain/zero/1.0/,"loop,100,drums,drumloop,break,bpm,beat,drum-loop,drum",Drumloop Jungle or not to jungle - 2 bar - 100 BPM (swing).WAV
155747,ss-n,19,ss,train,felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,"scream,yell,shore,screeching,screech,yelling,blume,seagull,screaming,coast,waves,wave,PERUT025,seagulls,Ilo,nature,field-recording,beach,ambience,peru,soundscape,ocean,sea,felix,peruvian","Seagulls screeching on the beach, on the peruvian shore."
273341,fx-o,11,fx,train,othercee,http://creativecommons.org/publicdomain/zero/1.0/,"akg,bag,mono,case,zipper,wav,studio,unzip,foley,channel,fostex,zipping,backpack,unprocessed,unzipping,zip,close,dual,perspective,distant,computer,rode,laptop,pov,soft",Laptop_case_-_Unzipping_L_Close_R_Distant.wav
24840,is-p,3,is,train,spt3125,http://creativecommons.org/publicdomain/zero/1.0/,"drum,drums,flickr,hit,percussion,timpani",timp71_G_p5.flac
126430,fx-n,16,fx,train,Kyster,https://creativecommons.org/licenses/by/4.0/,"animals,birds,breeze,field-recording,fieldrecording,forest,leaf,leafs,nature,rold,rold-forest,rold-skov,skov,trees,wildlife,wind",Rold skov.wav
119676,is-w,5,is,train,clruwe,https://creativecommons.org/licenses/by/4.0/,"baritone-sax,jazz,sampled-instruments,sax,saxophone,vst,woodwind",Baritone eb4 v127.wav
153941,is-s,4,is,train,Carlos_Vaquero,https://creativecommons.org/licenses/by-nc/4.0/,"multisample,zoom-h2n,non-vibrato,plucked,mezzoforte,a-sharp-7,plucked-string-instrument,chordophone,classical-guitar",Classical-Guitar A#-7 Plucked Non-Vibrato
40293,m-si,1,m,train,hubertmichel,http://creativecommons.org/licenses/by/3.0/,"bass,electric,sample",Basse 44.wav
74217,fx-n,16,fx,train,csengeri,https://creativecommons.org/licenses/by/4.0/,"field-recording,lightning,severe,storm,thunder,thunderstorm,weather",090610ek1.wav
386297,fx-m,13,fx,train,ldezem,http://creativecommons.org/publicdomain/zero/1.0/,"4bar,80bpm,motor,hammer,air-pressure,pneumatic,pneumatic-tools,atlas-copco,metalwork,tools,labor,work,crafts",Pneumatic hammer - Atlas Copco r4n - Start 4
216811,m-sp,0,m,test,mauxuam,http://creativecommons.org/publicdomain/zero/1.0/,"loop,drum-loop,beat",cloudcycle.stratus-hh.loop.5-87bpm
70306,ss-n,19,ss,train,stomachache,http://creativecommons.org/publicdomain/zero/1.0/,"bird-call,birds,bugs,field-recording,insects,kruger,south-africa",KrugerBirds.WAV
55511,fx-n,16,fx,train,NoiseCollector,http://creativecommons.org/licenses/by/3.0/,"field-recording,rain,storm,thunder",stormpassing.wav
234883,fx-o,11,fx,train,leosalom,http://creativecommons.org/publicdomain/zero/1.0/,"kitchen,banana,blender,shake,milkshake,fruit,field,recording,mixer,smoothie",blender mixer smoothie
187210,ss-u,21,ss,test,barcelonetasonora,https://creativecommons.org/licenses/by/4.0/,"Midday,Tourists,Singing,Sea,Barceloneta,Laughs,Field-Recording,BarcelonetaSonora",French students playing on the beach.wav
397339,fx-m,13,fx,train,Splushionsindasky,http://creativecommons.org/publicdomain/zero/1.0/,"elevador,hall,open,inside,door",elevador door.wav
33563,fx-h,14,fx,test,jppi_Stu,https://creativecommons.org/licenses/by/4.0/,"applause,audience,children,concert,elementary,field-recording,live,parents,performance,primary,student",SW_DHBP_Applause_2.flac
55996,is-s,4,is,train,ldk1609,http://creativecommons.org/publicdomain/zero/1.0/,"pizzicato,vibrato,violin",violin pizz vib A#2.aif
368566,is-w,5,is,train,LQ_,http://creativecommons.org/licenses/by/3.0/,"accordion,short,phrase,accordeon",accordion-dfa_44100.wav
236342,sp-s,8,sp,train,bcimmet,http://creativecommons.org/licenses/by/3.0/,"Stanley-Newman,gridplay,mumble,voice,whisper,words,speech,Doug-Peterson,crossword,Brian-Cimmet,mtc500-m002-s14,Celia-Madeoy,solving,puzzle,alphabet,Daniel-Feyer,female,letters,male,English,Malcolm-Ingram",M-v (whispered).aif
434970,m-si,1,m,train,dekstromoramid,https://creativecommons.org/licenses/by/4.0/,"deep-house,loop,electro,rhytyhm,dance,kick,soundesign,nu-disco,club,programmed,hard,house,beat,drum-bass,producer,bass,drum,chord,hihat",Organiser_Punisher_F_FX1_120BPM.wav
341419,fx-o,11,fx,train,stebbi30000@gmail.com,http://creativecommons.org/publicdomain/zero/1.0/,"coin,currency,glass,Coins,money,dime,penny",COINS IN A GLASS 20.wav
59013,fx-ex,17,fx,train,morgantj,https://creativecommons.org/licenses/by/4.0/,"bar,chatter,dj,loop,remix,sfx,sing,speech,vocal,vocals,voices",voicesintheattic7ohohoh.mp3
111073,ss-n,19,ss,train,soundbytez,http://creativecommons.org/licenses/by/3.0/,"aviary,bird,birds,exotic,field-recording,parrot,tropical,zoo",black_parrot.wav
353550,fx-h,14,fx,train,nicksta18,http://creativecommons.org/publicdomain/zero/1.0/,"Mean,Laugh,Evil,Villain,Voices,Deep,Spooky,Scary",Evil Laugh 1
362908,fx-o,11,fx,train,shaderrow,https://creativecommons.org/licenses/by-nc/4.0/,"Drill,Power-tools,OWI,Construction",Drill in air
136745,m-sp,0,m,train,fran_ky,http://creativecommons.org/licenses/by/3.0/,"loop,metallic,126-bpm,rail,sequenced,rhythmic",126 Num Ethnic.7.wav
380164,m-sp,0,m,train,connectik,http://creativecommons.org/publicdomain/zero/1.0/,"loop,percs,loops,drum-loop,idm,beats,percussion-loop,beat,quantized,drumbeat,groovy",h7.07.02.17.wav
193974,fx-o,11,fx,train,soundslikewillem,https://creativecommons.org/licenses/by-nc/4.0/,"typewriter,type,mechanical,letter,dactylo,paper,fix,vintage,classic,old",Fixing Paper in Typewriter Fast.wav
15171,fx-ex,17,fx,train,Jovica,https://creativecommons.org/licenses/by/4.0/,"experimental,loop,multisample,reaktor,vocoder",Vocomorph G#5.wav
16437,sp-s,8,sp,train,zippi1,https://creativecommons.org/licenses/by-nc/4.0/,"audacity,fun,funny,good,man,me,very,voice,woman",sound-yes.wav
5163,m-sp,0,m,train,Jovica,https://creativecommons.org/licenses/by/4.0/,"125-bpm,drumloop,electro",Rhythmmakerloop 125 bpm-17.wav
355106,is-w,5,is,train,MTG,http://creativecommons.org/licenses/by/3.0/,"good-sounds,E6,single-note,multisample,neumann-U87,oboe",Oboe - E6
191991,ss-u,21,ss,train,yodboy,http://creativecommons.org/publicdomain/zero/1.0/,"anticopa,ambient,manifestations,gallopade,riot,field-recording,horses",mountypolice_bynight_17_06_13_RS_Brazil.wav
193747,sp-p,10,sp,train,Valon129,http://creativecommons.org/licenses/by-nc/3.0/,"Girl,Horror,Whisper",Whisper.wav
153632,is-s,4,is,train,Carlos_Vaquero,https://creativecommons.org/licenses/by-nc/4.0/,"multisample,zoom-h2n,non-vibrato,pizzicato,mezzoforte,d-sharp-4,string-instrument,chordophone,viola",Viola D#-4 Pizzicato Non-Vibrato
50191,sp-c,9,sp,test,freesound,http://creativecommons.org/publicdomain/zero/1.0/,"drum,freesound,ghent,human-drum,massive-recording,people,short-sound,special-event,tak,voices",035_tak_t2.wav
137538,is-p,3,is,train,quartertone,https://creativecommons.org/licenses/by/4.0/,"hi-hat,multisample,1-shot,velocity,cymbal",HH13inKZ-FtChk-v12.wav
403343,m-m,2,m,train,emceeciscokid,https://creativecommons.org/licenses/by/4.0/,"bass,loop,intense,freesound,snare,kick,drums,trap,808,dance,free,hard,cool,beat,150-bpm,sub,drum,drum-loop,groovy",trap loop.wav
24649,fx-v,12,fx,train,dobroide,https://creativecommons.org/licenses/by/4.0/,"birds,field-recording,forest,motorbike,nature,offroad",20061030.pinewood.bikes.ck94.flac
347038,fx-n,16,fx,train,caculo,http://creativecommons.org/publicdomain/zero/1.0/,"tap,rest-room,bathroom,toilet,water",water flowing from a tap
107519,ss-n,19,ss,train,sagetyrtle,http://creativecommons.org/publicdomain/zero/1.0/,"country,drizzle,field-recording,rain,sprinkling,thunder",102610_drizzle_thunder_01.wav
23926,fx-ex,17,fx,train,ricemutt,http://creativecommons.org/licenses/sampling+/1.0/,"bow,erhu,string,violin",highest!vibrato.wav
87778,sp-s,8,sp,train,marcgascon7,http://creativecommons.org/publicdomain/zero/1.0/,"all,catalan,male,speech,vowels",vocals.WAV
